cq,set,embedding
Are there images of the item being used or created by the artist?,HA-1,"values=[-0.0059999744, 0.00636024, 0.01534966, -0.074163854, 0.008908669, -0.014188762, -0.028331952, 0.013418794, 0.003607858, 0.005825879, -0.026990933, 0.00061796576, -0.018964913, 0.019089649, 0.12881002, -0.0047833202, 0.00622199, -5.1335783e-06, 0.012045891, -0.0056451983, 0.0036906681, -0.012010236, 0.0020981152, -0.025816713, 0.0027270275, -0.019214112, 0.025022143, 0.024299167, 0.010346192, 0.0051347823, -0.008262154, 0.015115849, -0.01812678, -0.003308104, 0.025071042, 0.017183958, -0.0085158385, -0.019182978, -0.010121547, 0.02842432, -0.024562199, 0.020305939, -0.0028993825, 0.010746265, 0.0046331156, 0.010193649, -0.005883986, -0.040220916, 0.016603375, 0.012617874, 0.017983368, 0.01593344, 0.008974022, -0.16368385, -0.022868093, 0.012558766, -0.0005402939, 0.028103476, 0.010597313, -0.00959928, -0.008783892, 0.025808645, -0.023879718, -0.033499066, -0.004491958, -0.024533749, -0.018516084, -0.04608981, -0.0012268921, -0.019825878, -0.014372739, 0.0026969928, 0.0009660381, 0.03348361, 0.027015226, -0.013327689, -0.011928317, 0.0003016292, -0.0010936406, 0.022808906, -0.004137124, -0.010535081, -0.033229858, 0.0027679433, 0.0020090113, -0.016247213, -0.02657369, 0.0027491252, 0.0046991194, -0.0016103353, -0.0147316065, 0.00134936, 0.0068130493, -0.011312239, -0.013139354, -0.01359077, -0.009396357, 0.015127975, -0.01401129, 0.020608421, -0.00065951765, -0.015635496, -0.007857739, 0.0074136034, 0.013648976, -0.024788268, 0.012910877, -0.0019984315, -0.01776842, 0.028749632, -0.00091063173, 0.009098423, 0.0017254758, 0.0049798125, -0.0032199232, -0.15321116, -0.0020004297, -0.016680842, 0.0044892216, 0.026903106, 0.011491395, 0.0013187631, 0.018719032, 0.028560307, 0.0011731497, 0.0037118888, 0.013918191, -0.014368367, -0.01479028, 0.0040502897, -0.00478111, 0.00099288, -0.016005084, 0.028768463, -0.010171459, 0.014322218, -0.013279553, 0.0028729497, -0.00970583, 0.010017183, 0.022932798, 0.02221005, 0.004993579, -0.008567587, -0.0030466043, 0.0010978109, 0.0029465912, 0.031224664, -0.008275531, -0.011152499, -0.0044841454, 0.007882767, -0.017480688, 0.005904992, 0.0005844767, -0.041289117, -0.015173662, 0.0180319, 0.016854484, 0.0075833634, -0.009725839, -0.02129227, 0.006386794, 0.011060589, 0.008167871, 0.0029577217, 0.001011334, 0.0024561363, 0.018291194, 0.01953641, -0.017322386, 0.016680881, 0.012202033, 0.014323658, -0.01400444, -0.017393406, 0.0027370886, -0.005365005, 0.0070668138, 0.0065390053, 0.00894885, 0.0007604039, -0.0021503677, -0.013354303, 0.0080146585, -0.0046485728, -0.016601393, -0.026653195, 0.042657197, -0.0013854492, -0.01332802, 0.0066163056, -0.0025964435, -0.0070996773, 0.01507396, 0.02394324, -0.006566478, -0.0019061276, 0.03366227, 0.0067926995, 0.0068205125, 0.0059916894, 0.011913099, -0.01295745, 0.034345627, 0.0074425037, -0.015106894, 0.0052124476, -0.005629726, -0.0099837, -0.000610705, 0.005796299, -0.0009366021, 0.0100752385, 0.004968333, -0.0011335833, -0.00258046, -0.01937763, -0.012140019, -0.042177793, 0.037029028, -0.011637686, 0.0028104116, -4.936673e-05, -0.0026369772, -0.0045419284, -0.015767677, -0.014469734, -0.019695904, 0.032502364, -0.023996538, 0.02053517, -0.008496985, -0.020303912, 0.010401767, -0.007861696, -0.012577726, 0.022993326, 0.030691387, -0.014922937, 0.0028052116, -0.028347919, 0.017519295, 0.03997721, -0.0037334461, -0.009286127, -0.038921393, 0.013215221, -0.012681431, -0.0071367454, 0.0035095918, -0.014586445, 0.0012727219, -0.014811158, -0.012403548, -0.0131770475, -0.005471486, 0.0018726422, 0.035981864, 0.0029369642, -0.0021736287, 0.010110688, -0.005964226, -0.019458793, 0.007937198, -0.027683014, -0.0017771028, 0.022090515, -0.027825313, 0.017772028, -0.00035800668, -0.027213493, -0.0070930975, -0.012876203, 0.0011341458, 0.020952547, -0.090772405, 0.011819688, -0.0019519575, -0.006390974, 0.0085874805, 0.01641469, -0.006838774, -0.016259493, -0.0012048587, 0.027897809, -0.02556485, -0.008472674, 0.029843487, 0.01734769, 0.010076892, 0.03223331, -0.021698171, -0.008413687, 0.032721765, -0.031072613, 0.022954421, 0.006504437, -0.032988727, 0.022944061, 0.020071924, -0.008455334, 0.007783405, 0.037026286, 0.0041403486, -0.004219174, -0.00768074, 0.009446495, 0.005487936, 0.011637776, -0.0140729, 0.015772246, -0.02440702, 0.036170434, 0.010972388, 0.0023718467, 0.026828835, 0.031645823, -0.0025937085, -0.0029183002, -0.0018829718, 0.0069306917, -0.017386358, 0.01159274, 4.609259e-05, 0.0044857943, -0.0333347, 0.00784915, 0.019590486, -0.004020244, -0.0043792343, 0.01620715, -6.939053e-05, -0.021828454, -0.019129116, 0.0057004928, -0.008061584, 0.0017770893, 0.007435619, 0.028598482, -0.012122892, 0.008010147, 0.009232382, -0.013120353, 0.0069693355, 0.034800224, -0.007831098, -0.025980104, 9.284029e-06, -0.013956242, 0.0050659413, -0.021413695, -0.008731822, 0.013414957, -0.021705022, 0.009150178, 0.009720642, -0.0071430467, 0.01989007, 0.008819068, -0.007970755, 0.0048232516, 0.004450107, 0.003998431, 0.001518818, -0.015047199, 0.018303327, 0.016052648, -0.012722835, 0.005565032, -2.4291443e-05, 0.02753964, 0.0030126607, 0.018697549, -0.0035440426, -0.007969371, -0.022326222, -0.009961513, -0.028922914, 0.00681692, 0.0027576433, 0.025068548, -0.03408681, -0.010182709, -0.005000666, -0.017487388, 0.0069626938, -0.009053925, 0.017272845, 0.0105659, -0.019702716, 0.018891262, -0.014053554, -0.0026134904, -0.02423722, -0.006296876, -0.016395565, 0.0031568736, 0.003660321, -0.0054215174, -0.005497232, 0.008905949, -0.019371247, 0.00082375365, 0.0011046564, -0.0042704456, -0.008406458, -0.02212791, 0.00070960127, -0.0027381761, -0.0023498114, -0.02014386, 0.030987479, 0.0034557125, 0.003029431, 0.016549459, -0.028947916, -0.016162096, -0.0020949014, -0.006825613, -0.011982028, 0.020459618, 0.024651002, 0.023576846, 0.0012925991, -0.016940229, -0.0099408245, -0.014206349, 0.017189058, -0.021915246, -2.1036196e-06, -0.042589225, -0.021719003, 0.017370304, -0.008937166, -0.006650609, -0.016594542, 0.01300645, -0.004484324, -0.014185143, 0.011869467, 0.008658772, 0.003982711, 0.013289875, -0.0037804632, 0.025141144, -0.009994084, 0.0018750778, -0.042715766, 0.040142056, 0.0077420226, 0.0044313604, 0.017584613, 0.015711192, 0.03128139, -0.013135163, -0.03398831, -0.014022472, 0.020733153, -0.010925113, 0.010848251, -0.0055730264, -0.0075709056, -0.0015161169, 0.0018981405, 0.0043477723, 0.020327961, -0.030377474, -0.0020851877, 0.03350196, -0.010454551, 0.028159639, 0.021354532, 0.0228017, -0.007914825, 0.015867561, -0.013355658, 0.015773391, 0.0064017274, -0.0026841033, 0.0004659923, -0.013008946, 0.006399892, -0.004149901, -0.00093624904, 0.019610444, 0.000802265, -0.008069473, -0.014543002, -0.0044430564, 0.033500075, -0.010138792, -0.019755295, 0.0012290048, -0.026311595, -0.023945706, 0.0053738956, -0.0034740677, 0.0057661156, 0.007196018, 0.018575797, 0.01269623, 0.005492434, -0.0017020741, -0.0032782515, 0.006085581, 0.009138125, -0.01558513, 0.007817579, -0.01636091, -0.0009415587, -0.014726043] statistics=None"
When is a loaned item expected to be returned?,HA-1,"values=[-0.02883351, 0.015911635, 0.0043561035, -0.058612667, -0.017136032, -0.018149981, 0.0011123521, 0.011246389, 0.006655107, 0.010150797, -0.011633987, 0.0009813926, -0.012958701, 0.004419801, 0.11504553, 0.0013471574, 0.002754132, 0.0033372801, 0.0051918915, -0.00037444063, 0.004405024, 0.009230239, 0.002752127, -0.040719632, 0.0061696176, -0.030652186, 0.02313726, 0.0337606, 0.046030745, 0.0016081835, 0.010818216, 0.01445648, 0.0040942286, 0.0039820014, 0.0065319203, -0.0020676996, 0.0009743659, 0.016295355, 0.015858375, 0.026486745, -0.017186202, 0.005692759, 0.016226163, -0.011938136, -0.022605224, -0.008501791, -0.010686389, -0.011720203, 0.0076964744, 0.019940404, 0.0052094343, -0.0036100107, 0.007547294, -0.17567256, 0.009718346, -0.0062626945, 0.00056540297, 0.010809307, -0.005482725, -0.0003433029, -0.022573305, -0.0064427573, -0.02469913, -0.034286853, 0.013559635, -0.018555542, 0.0012573533, -0.018550735, -0.003764332, -0.0025604118, -0.0038219811, 0.010232557, -0.002009808, 0.021210905, 0.029578479, -0.050770205, 0.0043524834, 0.0154386, -0.004361501, -0.0066641704, 0.03779252, -0.022201465, -0.0017803612, -0.0044463673, 0.018035373, -0.015700283, -0.020262787, 0.016471032, 0.010553799, -0.004100881, -0.026822032, -0.003500738, 0.00080667145, 0.0025824164, -0.00034972577, 0.011811117, -0.003772108, 0.001942827, -0.04613249, -0.0022654606, -0.024304312, -0.02333035, -0.010003962, 0.00011774768, 0.0063258177, -0.00753809, 0.014778231, -0.013870912, -0.0341038, 0.013236564, -0.0016506983, -0.006078603, -0.012168226, 0.016284207, -0.0041883728, -0.15520091, -0.0027098588, -0.0069932723, -0.007920479, 0.016446365, 0.026120419, -0.023364615, 0.009049025, 0.024979193, -0.0053940383, -0.014135549, 0.02455435, -0.02173747, 0.00059993705, 0.0103832595, 9.1722606e-05, -0.024113256, 0.022756135, 0.0099165775, -0.0039462675, 0.017147243, -0.011807908, -0.015905635, -0.007275523, 0.0065031536, 0.032397006, 0.017195126, 0.0037914026, 0.013425092, -0.013764332, -0.015517756, -0.002376457, 0.0044071414, 0.015589101, -0.017415917, -0.020243542, 0.012204812, -0.016593833, -0.0084333755, 0.013940042, -0.06121331, -0.0089859385, -0.007718242, -0.0043120356, 0.020042777, 0.010916382, -0.0053906627, 0.01825, 0.014520902, 0.00086401706, -0.005776678, 0.016336229, 0.0038697782, 0.003817829, 0.0036887436, -0.010594215, -0.002845218, -0.006806312, 0.011053197, 0.003838388, 0.008418364, -0.0017998522, -0.010371846, -0.019978879, -0.008558737, 0.027914548, -0.0002996633, -0.006865387, 0.008927892, -0.0003411004, -0.002611988, -0.032827828, -0.014303315, 0.013850974, -0.002382013, 0.001564183, -0.009391241, -0.0038437336, -0.021530097, -0.011889607, 0.023259576, -0.018734897, 0.009150329, 0.030947015, -0.018635737, -0.013343384, 0.027759701, 0.0044179335, 0.0069845584, 0.027185427, -0.0043187034, -0.015521798, 0.016540987, -0.004550583, 0.0015272101, 0.016656745, -0.0026432716, 0.020485405, -0.027381457, 0.013673936, -0.005057658, 0.00072343845, -2.774481e-05, -0.0021274395, -0.024492703, 0.03457754, 0.015441163, 0.0068825074, 0.01627831, -0.0020072474, -0.013463502, 0.0015431645, -0.01560615, 0.014694114, 0.012977792, -0.0055604633, 0.00352517, -0.012232335, -0.014524511, -0.0069536758, 0.016867246, -0.004000485, -0.0021273908, 0.036412165, -0.01075163, 0.0017009856, -0.011639878, 0.026611172, 0.008444594, 8.939556e-05, 0.016535379, -0.019409835, 0.01918388, 0.007754435, -0.0117464, 0.004765113, 0.010466689, -0.005299287, -0.01607495, 0.005109609, -0.005233212, -0.01777288, 0.028787497, 0.019029826, -0.009321363, -0.0042333123, -0.0142483115, -0.015815804, -0.005289608, 0.00950577, -0.026665702, -0.0007769201, 0.0013329874, -0.024733486, -0.009752368, -0.008841112, 0.006899165, 0.0027462817, -0.0028794012, 0.019554887, 0.006708347, -0.090207964, 0.0011881541, 0.026544452, 0.01375101, 0.01896127, 0.0035718908, 0.021852536, -0.010101434, 0.016266715, 0.019137006, -0.0275847, -0.029052481, 0.02219452, 0.0048058825, -0.024401594, 0.008833411, 0.0045674825, -0.008175021, 0.037063595, -0.034154933, 0.013805527, -0.027947064, -0.03697621, 0.01657392, 0.0038586238, -0.024058163, -0.015356352, 0.032978386, 0.02590846, 0.0111893, 0.0025826602, 0.021437876, -0.0031512245, 0.01792174, 0.034203727, 0.012982756, -0.0031739634, 0.0023495306, 0.00091830577, -0.0039494666, 0.007322675, 0.00737769, -0.010053057, 0.011119305, -0.012631151, -0.009352671, -0.027246194, 0.00513217, -0.028993232, 0.0045835925, 0.0026221392, 0.004884922, 0.0005671647, -0.0050292825, 0.0038490016, -0.0007028455, 0.010157477, 0.00204954, -0.014992651, 0.0134005835, -0.026118767, 0.0052539427, 0.0018397951, -0.0005492191, 0.012321309, 0.029971227, -0.010034596, 0.02157606, -0.007699152, 0.033801273, -0.017213281, -0.010525818, -0.012754205, -0.018224718, 0.008593989, 0.015302533, 0.02496749, 0.009546451, -0.028511472, 0.0062797475, 0.011596846, 0.0028779965, 0.010832244, 0.020136092, -0.015077203, 0.0026613516, -0.0037795128, 0.003125702, -0.029633762, 0.00029973823, 0.010885116, -0.005529277, 0.0065643056, 0.007834076, -0.021062393, 0.019196596, 0.016205156, 0.025682438, -0.036118448, 0.0026419335, -0.030601898, -0.00063742546, -0.016235923, 0.019745195, -0.0061892862, 0.029481513, -0.02363962, -0.01943689, 0.010095073, 0.023377907, -0.0025647727, -0.008181882, 0.010230695, -0.017026277, -0.020188222, 0.004414177, -0.008986681, -0.0036626402, -0.029799363, -0.012960021, -0.0134901535, -0.021778643, -0.009272761, -0.0011199429, 0.028803045, 0.01939882, -0.0039810217, 0.011539097, 0.01323345, 0.00684833, 0.000595468, 0.0056146453, 0.025747258, -0.003386867, -0.0140812, 0.000583608, -0.010799121, -0.004913804, 0.02085887, 0.00865905, -0.035341635, -0.0214777, 0.03757752, 0.024824237, 0.0059598247, 0.029753035, 0.007633112, 0.014662282, 0.0015344954, -0.022666479, -0.002941982, 0.005042201, 0.010974583, 0.0024120207, 0.0071214023, -0.03283565, -0.041010838, 2.7250473e-05, -0.010586229, -0.012214633, -0.0023876939, 0.0150556, 0.020663142, -0.010730057, -0.0013006504, -0.0018909143, -0.0054280306, -0.016556276, -0.0076642167, 0.017478632, -0.029771278, -0.009601708, -0.023422057, 0.015514657, 0.02717175, 0.0034713696, -0.0021569773, 0.00943302, 0.03865973, -0.018741585, -0.03150001, -0.0019133774, 0.017696813, 0.015990525, -0.023347437, -0.013150657, -0.011620222, -0.015391421, -0.007672099, 0.0078717675, -0.0083564, -0.016978242, 0.025539944, 0.020880211, 0.007549045, 0.024400983, -0.017998034, 0.007743602, 0.002141374, -0.011591048, -0.018389283, 0.001301806, 0.015765104, -0.004376915, 0.0096424995, -0.02454274, -0.0037368457, -0.0022353588, -0.021373326, 0.007929838, 0.001048915, -0.0022749566, -0.01735292, 0.0027117687, 0.04546808, -0.0038947996, -0.028226847, 0.0154864825, -0.028546391, -0.021033103, 0.008830739, -0.0031242615, 0.0035689748, 0.008824803, 0.029562268, 0.009791625, -0.0049735624, -0.024647798, -0.0038842263, 0.0016732997, 0.0041487375, -0.0039666817, -0.010135709, 0.008441501, -0.008414674, 0.0005262193] statistics=None"
Is the artefact out for repair?,HA-1,"values=[-0.020791013, -0.0063478663, 0.016663348, -0.06788736, -0.013790836, -0.023293031, -0.012248568, 0.016098939, 0.012772049, 0.009660626, -0.0009447494, -0.004928038, -0.023786522, 0.028962359, 0.11643698, -0.0057394165, 0.0027542706, 0.026946878, 0.0073848306, -0.0014208909, 0.0067741517, -0.0032521568, 0.008819558, -0.016524194, 0.022877838, -0.020345015, 0.025241405, 0.029080011, 0.043750096, 0.0021526858, -0.0009092128, 0.010141442, -0.0066088913, -0.018614106, 0.021390155, 0.007574588, 0.00629595, 0.013078462, -0.0075764973, 0.034948457, -0.013795557, 0.015552558, 0.006351418, 0.0022529925, 0.006630723, -0.007236352, -0.0020838499, -0.019627767, 0.025762746, 0.0044273697, 0.0020660344, 0.018512595, 0.038440842, -0.16851981, -0.0042252913, 0.009729701, -0.013201235, 0.038412675, 0.014719057, -0.008879026, -0.042193405, 0.0072028106, -0.004525294, -0.04451981, -0.0016147897, -0.019543575, 0.006418357, -0.011750699, -0.027827462, -0.007984586, -0.007940683, -0.008779126, 0.00020705315, 0.026388478, 0.021597778, -0.026803613, -0.0008950526, 0.012835396, 0.010630509, 0.006383432, -0.0027786347, -0.020859635, -0.006521814, -0.0032438708, 0.012135614, -0.0010247377, -0.032292884, 0.022037627, 0.006282657, -0.0082088355, -0.021693073, -0.0061431066, 0.0063789343, -0.005965004, -0.0044083814, 0.010043232, -0.023780081, 0.0023881039, -0.01962582, -0.00047948438, -0.021069799, -0.01562554, 0.0036030493, 0.0069331657, 0.009828059, -0.013214668, -0.007283901, -0.00046636254, -0.021655282, 0.023185449, -0.011270325, 0.004531136, -0.0022833336, 0.0022500502, -0.003263893, -0.1613414, 0.0036590244, 0.0017366618, 0.0021425837, 0.026992206, 0.011080299, -0.0022766076, 0.009902374, 0.037293058, 0.0027021903, -0.010604719, 0.023110796, -0.029029638, -0.0021473072, -0.0058186557, -0.011635205, -0.00662613, 0.015644485, 0.014504909, -0.017128615, 0.021210784, 0.0072612893, 0.008655593, 0.0140570495, 0.014110339, 0.034361582, 0.018553188, 0.0019009289, 0.007025912, -0.013742905, -0.017126355, -0.016642267, 0.024074422, -0.0036372186, -0.02563557, -0.0056016007, 0.011117607, -0.020464957, -0.021879349, 0.019033555, -0.04758196, -0.021673368, -0.008928273, 0.010952255, 0.0013241118, -0.010691748, -0.029705139, 0.01746175, 0.00998169, 0.011505254, -0.012985952, 0.015002389, 0.007951078, -0.01105623, 0.01919492, -0.019561078, -0.02033964, 0.0066759507, 0.012016557, -0.01571577, 0.012734873, 0.014330448, -0.0047306446, -0.012930912, 0.009266223, 0.0083947005, 0.00017179678, -0.0022694436, -0.0037468302, -0.0055487244, -0.015741594, -0.01768098, -0.0152199315, 0.0049756747, -0.0045714537, -0.0015056516, -0.003990595, 0.005409808, -0.011937942, 0.012726157, 0.0154028125, -0.030639837, 0.008130236, 0.016925842, 0.015651843, -0.012592499, 0.02227138, 0.017007858, 0.015840238, 0.02777377, -0.015118059, -0.0085493475, -0.011738868, -0.01403272, 0.01746718, 0.0014975439, 0.0029177456, -0.00074273377, 0.00059248664, 0.028804746, -0.021037117, -0.0078974655, -4.8213096e-05, -0.016381666, -0.010268809, 0.037744284, -0.007998112, -0.0152575625, 0.011491546, -0.0010634062, -0.007878812, -0.0049901884, -0.004794137, -0.0026227413, 0.026917161, 0.0014167345, -0.002792457, -0.01744203, -0.01532776, -0.004166513, 0.009532282, 0.006805206, -0.0019132467, 0.03501091, -0.0070162946, 0.012086946, -0.029618384, 0.014217032, 0.018306386, -0.019012162, -0.014117287, -0.020585915, 0.029665703, -0.023526937, -0.0022657777, 0.0023962134, 0.004617817, 0.00719969, -0.016959224, 0.008992899, -0.012025498, -0.020766933, 0.03262167, 0.022024957, -0.006074374, -0.0024093732, -0.0055126795, -0.007635854, -0.011939571, 0.0151942205, -0.0244274, 0.008256335, 0.007221001, -0.025593964, 0.018454714, -0.009686544, -0.0128135355, -0.013344732, -0.0051266924, 0.009522337, 0.020062072, -0.08956657, 0.022869559, -0.010539041, -0.001991884, 0.00694058, -0.0014015719, 0.0017062506, -0.029267486, 0.005781326, 0.011214082, -0.023785777, -0.01586361, 0.007290703, 0.013280296, -0.00725149, 0.021986488, -0.010268691, -0.013475933, 0.020944653, -0.013365612, -0.001852054, -0.015493761, -0.030646792, 0.021397304, -0.01098532, -0.020090152, -0.0066201277, 0.049881313, 0.01649081, 0.025342787, -0.006427651, 0.024973871, -0.008186813, 0.0013116928, 0.031494126, 0.023244938, -0.013170528, 0.012816898, -0.008130302, -0.010816103, 0.01361772, 0.016378788, -0.01608494, 0.0064897654, -0.008071475, 0.010017201, -0.020802096, 0.001882771, 0.006984918, 0.00023282455, -0.0050373035, 0.0048546847, -8.392253e-05, -0.005972197, -0.0018228532, 0.012652838, 0.02295862, -0.015607287, -0.026338866, 0.012610796, -0.00874625, 0.004196921, -0.005188586, 0.014166172, -0.01832911, 0.019234732, -0.0061922898, 0.008513588, 0.0074352296, 0.024026966, -0.010404909, -0.025709908, -0.0045860144, -0.0088846255, 0.033123285, 0.012709694, -0.020395577, 0.0014075966, -0.031609107, 0.015356556, -0.0029470837, -0.0019176329, 0.013133242, 0.015730236, 0.024024883, 0.013768824, 0.008392799, 0.0070683286, -0.0025217012, -0.024315778, 0.03597535, 0.0002726254, 0.0021500278, 0.0018314406, -0.009273086, 0.026827564, 0.01484736, 0.020225717, 0.009077636, 0.014452216, -0.0140266605, -0.012518754, -0.0115299905, 0.011876239, -0.009552813, 0.01801856, -0.01018295, -0.016184332, -0.0071946695, 0.0020977745, 0.0075019407, 0.012636174, 0.01439781, -0.01900211, -0.018937208, 0.009445669, -0.0056101484, -0.0034303726, -0.037442695, 0.0037512467, -6.4331514e-05, -0.024932364, -0.002543199, 0.00981987, 0.0058489717, -0.0102674365, -0.026796442, -6.1358433e-06, -0.009467604, 0.002418772, -0.010482668, 0.005108967, 0.0088230735, -0.0052412674, -0.0027779492, -0.007136379, 0.017104479, 0.009749145, 0.0037420262, 0.02297123, -0.023772413, -0.01449163, 0.017579304, 0.008202902, 0.005468101, 0.026196908, 0.0266941, 0.024084907, 0.014564105, -0.02725357, -0.017197723, 0.0054070596, 0.024111452, -0.017831717, 6.058838e-06, -0.03615207, -0.0276079, -0.0046162433, -0.01548765, -0.0055122245, -0.00922657, 0.030934196, -0.00394554, -0.005357498, 0.01686053, 0.008982851, -0.022039166, 0.0012530795, -0.0027820857, 0.03237376, -0.028951265, 0.008812776, -0.012593456, 0.026438514, 0.024796136, 0.0025110028, 0.00524043, 0.0019853115, 0.041865006, 0.00067923754, -0.028714094, 0.013236072, 0.0071681594, -0.0066154622, -0.0018715403, -0.032674074, -0.0076467153, 0.012420145, -0.00942682, 0.0017818556, 0.0030434467, -0.021287758, 0.008802409, 0.0040360047, 0.018353883, 0.019804724, -0.004539306, 0.018214904, -0.008134997, 0.048876345, -0.022107089, 0.01458975, 0.013079216, -0.016475815, 0.011805602, -0.024523398, 0.013011239, -0.024529671, -0.009177412, 0.008520906, 0.0093725715, 0.0066466513, -0.017094135, -0.007895234, 0.034411468, 0.008705344, -0.012018411, -0.004387199, -0.012727624, -0.021375371, 0.0067904764, 0.013026295, 0.004776925, -0.0073437355, 0.04426575, 0.007791762, -0.011696128, -0.011145914, -0.021260155, -0.0008694403, 0.02184469, -0.011916738, -0.0090178875, -0.014254271, -0.022637079, -0.006064327] statistics=None"
